Title,Address,City,Price,Bedroom,Bathroom,Floors,Parking,Area,Road,Road Width,Road Type,Amenities,Face
House Sell at Kohalpur,"Bidhyanagar,Kohalpur,Banke",Banke,6.00E+06,2,2,1,2,1.6 Aana,11 Feet,11 Feet,Gravelled,"['Drainage', 'Water Supply']",East
"Hotel On Sale : Business For Sale In Devkota Chowk, Bhairahawa","Nearby Gallamandi Road, Devkota Chowk, Bhairahawa",Bhairahawa,125000000,16,20,3,1,32 Aana,55 Feet,55 Feet,,"['Lawn', 'Air Condition', 'Microwave', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'CCTV', 'Cafeteria', 'Electricity Backup', 'Internet', 'Maintenance']",South
"House For Sale In Kausaltar, Bhaktapur","Kausaltar, Kausaltar, Bhaktapur",Bhaktapur,19500000,5,0,4,0,3.5 Aana,20 Feet / Soil Stabilized,20 Feet , Soil Stabilized,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank']",South
"Balkot House For Rent : House For Rent In Balkot, Bhaktapur","27.6845464, Balkot, Bhaktapur",Bhaktapur,8500000,4,1,3,0,12 Aana,12 Feet / Soil Stabilized,12 Feet , Soil Stabilized,[],North
"House For Sale In Madhyapur Thimi, Bhaktapur","Nikoshera, Madhyapur Thimi, Bhaktapur",Bhaktapur,8500000,2,1,3,0,2.22 Aana,8 Meter / Soil Stabilized,8 Meter , Soil Stabilized,[],East
"House For Sale In Duwakot, Bhaktapur","Duwakot, Duwakot, Bhaktapur",Bhaktapur,9500000,3,2,3,0,3 Aana,13 Feet / Gravelled,13 Feet , Gravelled,[],East
"House : House For Sale In Balkot, Bhaktapur","124, Balkot, Bhaktapur",Bhaktapur,15500000,4,2,3,1,3 Aana,13 Feet / Gravelled,13 Feet , Gravelled,"['Water Supply', 'Wifi', 'Balcony', 'Store Room']",North East
"House For Sale In Dadikot, Bhaktapur","Dadhikot, Dadikot, Bhaktapur",Bhaktapur,11500000,3,3,3,0,3.3 Aana,12 Feet / Gravelled,12 Feet , Gravelled,[],East
2BHk House for sale,"Nalinchowk,Bhaktapur",Bhaktapur,1.50E+07,2,3,2.5,5,4.0 Aana,8 Feet,8 Feet,Gravelled,"['Garage', 'Balcony', 'Frontyard', 'Drainage', 'Water Supply']",West
"2 Storey House On Sale At Gathaghar : House For Sale In Gatthaghar, Bhaktapur","kausaltar, Gatthaghar, Bhaktapur",Bhaktapur,12500000,2,3,2,0,3 Aana,16 Feet,16 Feet,,['Parking'],West
"Brand New Never Used House For Sale At Rose Village Balkot : House For Sale In Balkot, Bhaktapur","Rose Village Balkot, Balkot, Bhaktapur",Bhaktapur,29000000,3,3,2,2,4.5 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,"['Parking', 'Garage', 'Air Condition', 'Balcony', 'Deck', 'Fencing', 'Frontyard', 'Microwave', 'Modular Kitchen', 'Swimming Pool', 'TV Cable', 'Washing Machine', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Internet']",East
"Beautiful 4BHK Bungalow : House For Sale In Balkot, Bhaktapur","Rose Village, Balkot, Bhaktapur",Bhaktapur,39999999,4,3,3,2,5.62 Aana,28 Feet / Blacktopped,28 Feet , Blacktopped,"['Lawn', 'Garage', 'Backyard', 'Balcony', 'Fencing', 'Frontyard', 'Garden', 'Gym', 'Microwave', 'Modular Kitchen', 'Swimming Pool', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'CCTV', 'Cafeteria', 'Electricity Backup', 'Intercom', 'Internet', 'Kids Playground', 'Maintenance', 'Parking', 'Security Staff', 'Store Room']",West
"2.5 Storey House : House For Sale In Lokanthali, Bhaktapur","Lokanthali, Lokanthali, Bhaktapur",Bhaktapur,35000000,6,3,3,2,7.3 Aana,18 Feet,18 Feet,,"['Garage', 'Backyard', 'Balcony', 'Deck', 'Fencing', 'Frontyard', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply']",South
"House For Sale In Sipadol, Bhaktapur","Sipadol, Sipadol, Bhaktapur",Bhaktapur,20500000,7,3,3,1,3.2 Aana,10 Feet / Gravelled,10 Feet , Gravelled,"['Lawn', 'Balcony', 'Fencing', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'CCTV', 'Internet', 'Parking', 'Store Room']",South East
House for Sale,"Jhaukhel, Changunarayan, Bhaktapur",Bhaktapur,1.20E+07,10,3,3,7,7.3 Aana,32 Feet,32 Feet,Paved,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank']",South
"House For Sale In Lokanthali, Bhaktapur","Lokanthali, Lokanthali, Bhaktapur",Bhaktapur,27000000,16,3,3,0,6 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,[],East
"House For Sale In Changunarayan, Bhaktapur","Jhaukhel, Changunarayan, Bhaktapur",Bhaktapur,21500000,4,4,3.5,0,7 Aana,15 Feet / Gravelled,15 Feet , Gravelled,[],South
"House For Sale In Changunarayan, Bhaktapur","Thathali, Changunarayan, Bhaktapur",Bhaktapur,10500000,2,4,3,0,4 Aana,10 Feet / Blacktopped,10 Feet , Blacktopped,[],South East
"घर र जग्गा बिक्रिमा : Land For Sale In Balkot, Bhaktapur","Khalpitar, Balkot, Bhaktapur",Bhaktapur,25000000,2,4,1,1,7 Aana,13 Feet / Gravelled,13 Feet , Gravelled,[],West
"House For Sale : House For Sale In Bhaktapur, Bhaktapur","bhaktapur, Bhaktapur, Bhaktapur",Bhaktapur,21500000,9,4,3,1,6 Aana,20 Feet,20 Feet,,['Garage'],South East
"Rose Village Bakot House Sale : House For Sale In Madhyapur Thimi, Bhaktapur","Rose Village Balkot, Madhyapur Thimi, Bhaktapur",Bhaktapur,35000000,3,4,2,3,4.6 Aana,30 Feet / Blacktopped,30 Feet , Blacktopped,"['Lawn', 'Garage', 'Balcony', 'Fencing']",South
"Bungalow : House For Sale In Bhaktapur, Bhaktapur","Gamcha, Bhaktapur, Bhaktapur",Bhaktapur,32500000,4,4,2,4,7 Aana,20 Feet / Paved,20 Feet , Paved,"['Parking', 'Balcony', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Electricity Backup', 'Internet', 'Store Room']",South East
