New_address,City,Road Type
58,12,1
55,12,1
55,12,1
164,20,11
4,12,1
188,12,1
188,12,1
104,16,11
94,12,1
55,12,1
26,12,11
94,12,1
275,12,11
42,12,11
245,12,3
41,5,1
257,12,4
29,12,1
16,12,1
181,12,11
225,20,11
131,12,11
258,12,11
55,12,1
55,12,1
279,12,1
279,12,1
55,12,1
292,12,11
243,16,11
243,16,1
55,12,1
20,12,1
55,12,1
93,12,1
38,2,3
199,16,11
26,12,1
55,12,1
26,12,1
81,1,11
210,12,1
228,12,1
234,12,11
309,20,6
192,12,1
31,12,4
55,12,1
55,12,1
221,12,11
67,12,1
67,12,1
55,12,11
55,12,1
55,12,1
55,12,3
55,12,1
55,12,11
35,12,1
10,12,1
106,12,1
106,12,1
106,12,1
10,12,1
106,12,1
106,12,1
26,12,1
55,12,1
103,12,1
27,12,1
106,12,1
142,12,11
149,12,1
37,16,5
55,12,1
74,12,1
74,12,1
26,12,1
26,12,11
121,12,1
55,12,1
89,16,1
89,16,1
258,12,11
170,20,11
32,12,1
242,12,1
121,12,5
135,12,3
219,12,3
89,16,1
45,12,1
121,12,11
11,12,1
26,12,3
225,20,11
219,12,1
215,12,4
55,12,1
26,12,3
181,12,3
316,20,6
181,12,5
219,12,1
165,16,11
159,16,11
15,20,5
127,12,1
38,2,1
1,12,3
1,12,3
2,12,1
2,12,1
127,12,1
242,12,6
26,12,9
26,12,11
32,12,11
55,12,1
86,12,1
32,12,1
55,12,1
253,12,1
86,12,1
279,12,11
251,16,1
181,12,3
181,12,1
55,12,1
161,16,11
181,12,1
36,12,1
55,12,6
37,16,11
86,12,1
92,12,1
27,12,11
36,12,1
9,12,1
86,12,1
67,12,1
67,12,1
257,12,1
181,12,1
181,12,1
55,12,1
181,12,1
55,12,1
86,12,1
86,12,1
160,12,1
205,12,1
186,12,3
275,12,11
186,12,11
86,12,1
55,12,5
181,12,1
55,12,1
86,12,1
7,12,1
186,12,11
86,12,1
8,12,1
31,12,11
181,12,1
55,12,11
34,7,11
141,12,11
92,12,1
55,12,3
55,12,1
121,12,11
242,12,1
41,5,11
32,12,1
26,12,1
283,12,11
26,12,4
211,12,1
59,12,1
188,12,1
59,12,1
26,12,1
154,16,11
26,12,1
225,20,1
238,12,11
55,12,5
22,12,11
164,20,11
26,12,1
188,12,1
26,12,1
55,12,1
106,12,3
82,2,6
175,15,11
221,12,1
55,12,1
55,12,4
55,12,4
55,12,1
181,12,1
55,12,11
67,12,1
181,12,1
181,12,1
106,12,5
117,12,1
55,12,3
242,12,1
146,12,11
242,12,11
146,12,11
107,12,1
217,12,11
242,12,1
181,12,1
117,12,1
219,12,1
121,12,11
181,12,1
107,12,1
28,12,3
169,12,3
92,12,11
99,12,4
213,12,3
226,12,11
99,12,4
283,12,1
55,12,1
28,12,11
258,12,3
26,12,11
188,12,1
55,12,1
122,12,1
192,12,2
55,12,1
32,12,1
39,5,5
41,5,1
174,12,1
32,12,1
55,12,1
120,16,1
22,12,11
58,12,1
55,12,1
55,12,1
32,12,1
55,12,3
277,12,1
55,12,3
41,5,11
124,12,1
55,12,3
55,12,1
106,12,5
271,12,11
124,12,1
106,12,5
258,12,1
208,16,1
26,12,1
123,12,2
70,12,1
